meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
stubborn,"""stubborn",頑,4,65,13,,1,"stubborn, beginning, two, human legs, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight","This character refers to the blockheaded, persistent stubbornness of one who sticks to an idea or a plan just the way it was at the beginning, without letting anything that comes up along the way alter things in the least. The explanation makes """"sense,"""" but is hard to remember because the word """"beginning """"is too abstract. Back up to the image we used two frames ago - Adam and Eve in their Eden - and try again: The root of all stubbornness goes back to the beginning, with two brothers each stubbornly defending his own way of life and asking their God to bless it favorably. Abel stuck to agriculture, Cain to animal-raising. Picture these two with their giant, swelled heads, each vying for the favors of heaven, a stubborn grimace on their faces. No wonder something unfortunate happened!",A stubborn person in the beginning gets something into their head and can´t change their mind.,ガン,,
mediocre,"""mediocre",凡,4,66,3,,1,"mediocre, drop, wind","While we refer to something insignificant as a """"drop in the bucket,"""" the kanji for mediocre suggests the image of a """"drop in the wind.""""",A drop of breeze is naught but a mediocre wind.,ボン、ハン,およ.そ、おうよ.そ、すべ.て,"凡人 (ぼんじん), 凡百 (ぼんひゃく), 平凡 (へいぼん)"""
defeat,"""defeat",負,4,67,9,3,3,"defeat, bound up, shellfish, clam, oyster, eye, animal legs, eight","Above we have the condensed form of bound up, and below the familiar shellfish. Now imagine two oysters engaged in shell-to-shell combat, the one who is defeated being bound and gagged with seaweed, the victor towering triumphantly over it. The bound shellfish thus becomes the symbol for defeat.","Tied up, the shellfish had to accept defeat!",フ,ま.ける、ま.かす、お.う,"負う (お.う), 負かす (ま.かす), 負ける (ま.ける)"""
ten,thousand,万,4,68,3,2,5,"ten thousand, one, ceiling, bound up","Japanese counts higher numbers in units of ten thousand, unlike the West, which advances according to units of one thousand. (Thus, for instance, 40,000 would be read """"four ten-thousands"""" by a Japanese.) Given that the comma is used in larger numbers to bind up a numerical unit of one thousand, the elements for one and bound up naturally come to form ten thousand. The order of strokes here needs special attention, both because it falls outside the general principles we have learned already, and because it involves writing the element for bound up in an order opposite to the one we learned. If it is any consolation, this exception is consistent every time these three strokes come together.",I bound ten thousand dollars together and hid it under the floor.,マン、バン,よろず,"万一 (まんいち), 万年筆 (まんねんひつ), 巨万 (きょまん)"""
phrase,"""phrase",句,4,69,5,5,1,"phrase, bound up, mouth","By combining the two primitives bound up and mouth, we can easily see how this character can get the meaning of a phrase. After all, a phrase is nothing more than a number of words bound up tightly and neatly so that they will fit in your mouth.",Some Japanese phrases are difficult to wrap your mouth around.,ク,,"句 (く)"""
texture,"""texture",肌,4,70,6,,2,"texture, moon, month, flesh, part of the body, wind","Ever notice how the texture of your face and hands is affected by the wind? A day's skiing or sailing makes them rough and dry, and in need of a good soft cream to soothe the burn. So whenever a part of the body gets exposed to the wind, its texture is affected. (If it is any help, the Latin word hiding inside texture connotes how something is """"to the touch."""")",When you expose your flesh to the wind it gets textured: goosebumps!,キ,はだ,"肌 (はだ)"""
decameron,"""decameron",旬,4,71,6,,1,"decameron, bound up, sun, day","There simply is not a good phrase in English for the block often days which this character represents. So we resurrect the classical phrase, decameron, whose connotations the tales of Boccaccio have done much to enrich. Actually, it refers to a journey of ten days taken by a band of people - that is, a group of people bound together for the days of the decameron.",Hesig should be BOUND for a DAY (or maybe 10 days - a decameron) for calling this Kanji DECAMERON. See martyrdom (#809).,ジュン、シュン,,
ladle,"""ladle",勺,4,72,3,,1,"ladle, bound up, drop","If you want to bind up drops of anything - water, soup, lemonade - you use something to scoop these drops up, which is what we call a ladle. See the last drop left inside the ladle?",A ladle binds drops together.,シャク,,
bull´s,eye,的,4,73,8,4,,"bull’s eye, white, dove, ladle, bound up, drop","The elements white bird and ladle easily suggest the image of a bull's eye if you imagine a rusty old ladle with a bull's eye painted on it in the form of a tiny white bird, who lets out a little """"peep"""" every time you hit the target.",I managed to hit the bull´s eye by throwing my white ladle.,テキ,まと,"的 (まと)"""
neck,"""neck",首,4,74,9,2,3,"neck, horns, nose, one, ceiling, drop, eye","Reading this kanji from the top down, we have: horns . . . nose. Together they bring to mind the picture of a moose-head hanging on the den wall, with its great horns and long nose. Now while we would speak of cutting off a moose's """"head"""" to hang on the wall, the Japanese speak of cutting off its neck. It's all a matter of how you look at it. Anyway, if you let the word neck conjure up the image of a moose with a very l-o-n-g neck hanging over the fireplace, whose horns you use for a coat-rack and whose nose has spigots left and right for scotch and water, you should have no trouble with the character. Here we get a good look at what we mentioned when we first introduced the element for horns: that they can never be left floating free and require an extra horizontal stroke to prevent that from happening, as is the case here.","The V shape is your neck on top of your collar bone, or the straight line. Yourself, or the rest of your body is below that!",シュ,くび,"首 (くび)"""
fish,guts,乙,5,75,1,,1,"fishguts, fishhook","The kanji shown here actually represents the """"second"""" position in the old Chinese zodiac, which the Japanese still use as an alternate way of enumeration, much the same way that English will revert to Roman numerals. Among its many other meanings are """"pure,"""" """"tasteful,"""" """"quaint,"""" and - get this! - fish guts. Since it is a pictograph of a fishhook, it should not be hard to associate it with the key word.* We will keep fishhook as the primitive meaning. Its shape will rarely be quite the same as that of the kanji. When it appears at the bottom of another primitive, it is straightened out, almost as if the weight of the upper element had bent it out of shape. And when it appears to the right of another element, the short horizontal line that gets the shape started is omitted and it is stretched out and narrowed, all for reasons of space and aesthetics. Examples follow.","This is a fish hook, that pulls out the fishguts.",オツ、イツ,,
riot,"""riot",乱,5,76,7,6,2,"riot, tongue, thousand, drop, ten, needle, mouth, fishhook","In a riot, manners are laid aside and tempers get short, even in so courtesy-conscious a land as Japan. This kanji shows what happens to a rioting tongue: it gets """"barbed"""" like a fishhook, and sets to attacking the opposition, to hook them as it were.",The riot police broke up the riot by dragging the rioters away by their tongues with fishooks.,ラン、ロン,みだ.れる、みだ.る、みだ.す、みだ、おさ.める、わた.る,"乱す (みだ.す), 乱れる (みだ.れる)"""
